protocol,start,end,sum
TCP,80,21323,1
TCP,80,59343,1
TCP,80,34323,1
UDP,1697,42265,1
UDP,14932,42265,1
UDP,46846,13123,1
TCP,19887,80,1
TCP,80,1440,1
TCP,61035,80,1
TCP,80,32116,1
TCP,14355,80,1
TCP,80,60669,1
TCP,80,49560,1
UDP,15267,42265,1
TCP,80,37601,1
UDP,64368,42265,1
UDP,20623,34952,1
TCP,25241,80,1
TCP,80,58783,1
UDP,38644,13536,1
UDP,49623,13536,1
TCP,36342,80,1
TCP,42098,80,1
TCP,38500,80,1
UDP,57991,13123,1
UDP,57520,26486,1
UDP,43387,34354,1
TCP,47368,80,1
TCP,80,32868,1
TCP,80,39964,1
TCP,80,18167,1
TCP,80,45985,1
TCP,80,16377,1
TCP,80,20118,1
UDP,28489,42265,1
TCP,80,45045,1
UDP,57294,13536,1
UDP,23179,13536,1
UDP,60672,34354,1
TCP,27805,80,1
TCP,59457,443,1
TCP,80,23088,1
UDP,57551,34952,1
UDP,29635,13536,1
TCP,61216,80,1
TCP,49899,80,1
TCP,14944,80,1
UDP,54767,34952,1
TCP,40194,80,1
UDP,64164,26486,1
TCP,50276,80,1
TCP,80,43860,1
TCP,80,32852,1
TCP,80,30261,1
TCP,49859,80,1
TCP,80,37774,1
TCP,80,10433,1
UDP,35734,26486,1
UDP,23577,26486,1
TCP,31157,80,1
TCP,44004,80,1
TCP,80,15157,1
TCP,2690,80,1
TCP,57510,80,1
UDP,56169,13123,1
UDP,56755,13123,1
TCP,80,52101,1
TCP,80,28736,1
TCP,60315,8080,1
TCP,8107,80,1
UDP,54499,13536,1
TCP,23900,80,1
TCP,4711,80,1
TCP,49057,80,1
TCP,80,23896,1
UDP,49796,34952,1
TCP,80,12401,1
UDP,60290,13123,1
TCP,80,17993,1
TCP,2290,80,1
TCP,80,19102,1
TCP,80,24893,1
UDP,26733,42265,1
TCP,38623,80,1
TCP,41035,80,1
UDP,63858,42265,1
UDP,23577,34354,1
TCP,80,55599,1
TCP,43499,80,1
TCP,80,22105,1
TCP,16149,80,1
TCP,47299,80,1
TCP,50217,80,1
TCP,8094,80,1
TCP,80,54596,1
TCP,80,65298,1
TCP,810,62412,1
TCP,19596,80,1
UDP,45280,35248,1
UDP,22939,26486,1
TCP,62248,80,1
TCP,31618,80,1
TCP,2373,80,1
TCP,23465,80,1
TCP,80,30665,1
UDP,35305,13123,1
TCP,65394,80,1
UDP,7421,35248,1
TCP,9663,80,1
TCP,80,1504,1
UDP,13054,26486,1
UDP,51225,13123,1
TCP,15686,80,1
TCP,80,19573,1
TCP,8711,80,1
TCP,12919,80,1
TCP,80,12761,1
TCP,810,35099,1
TCP,51382,80,1
TCP,48750,80,1
TCP,18929,80,1
TCP,14127,80,1
TCP,8852,80,1
TCP,80,39465,1
UDP,3084,26486,1
UDP,36359,35248,1
UDP,58157,35248,1
UDP,34498,39065,1
TCP,50277,80,1
TCP,11305,80,1
TCP,15154,80,1
TCP,4502,80,1
TCP,40676,80,1
TCP,18796,80,1
TCP,62825,80,1
UDP,14737,35248,1
TCP,15370,80,1
UDP,14824,64796,1
TCP,44768,2102,1
TCP,51493,80,1
TCP,15307,80,1
TCP,53358,80,1
TCP,4797,80,1
TCP,80,34835,1
TCP,80,23660,1
UDP,22844,34354,1
TCP,49604,80,1
TCP,80,36982,1
TCP,80,59152,1
TCP,10605,80,1
UDP,39181,13123,1
TCP,18357,80,1
TCP,13737,80,1
TCP,3105,80,1
UDP,8714,34354,1
UDP,44194,42265,1
TCP,27129,80,1
UDP,50216,35248,1
TCP,48097,80,1
UDP,4760,39065,1
UDP,4372,39065,1
TCP,80,13992,1
UDP,4180,35248,1
UDP,61880,42265,1
TCP,810,62331,1
UDP,44052,42265,1
TCP,38915,80,1
TCP,80,7806,1
TCP,15992,80,1
TCP,80,30838,1
TCP,80,34304,1
TCP,29108,80,1
TCP,2175,80,1
UDP,43816,26486,1
UDP,37071,26486,1
TCP,2142,80,1
TCP,80,44874,1
TCP,34429,80,1
TCP,13818,80,1
TCP,80,9732,1
TCP,80,32272,1
UDP,49587,39065,1
TCP,80,60163,1
TCP,80,29407,1
TCP,33264,80,1
TCP,3392,80,1
UDP,2046,64796,1
UDP,38906,34952,1
UDP,58575,13123,1
TCP,37735,80,1
TCP,80,17273,1
UDP,53649,34354,1
TCP,80,42163,1
TCP,3277,80,1
TCP,80,11443,1
TCP,53216,80,1
TCP,46033,80,1
UDP,26695,35248,1
TCP,31075,80,1
TCP,22191,80,1
TCP,80,31779,1
UDP,14485,39065,1
TCP,80,26998,1
TCP,3719,80,1
UDP,65371,34952,1
TCP,80,10270,1
UDP,55638,26486,1
TCP,44984,10039,1
TCP,80,51362,1
TCP,80,43119,1
UDP,21403,64796,1
