protocol,start,end,sum
TCP,8207,80,1
TCP,55856,80,2
TCP,51659,80,1
TCP,50480,80,1
TCP,8262,80,2
TCP,44719,80,1
TCP,80,36055,1
TCP,33992,80,1
TCP,50783,80,1
TCP,7127,80,1
TCP,10724,80,1
TCP,80,18183,1
TCP,52180,80,1
TCP,55892,443,1
TCP,51932,80,1
TCP,43270,80,1
TCP,9082,80,1
TCP,5187,80,1
TCP,32284,80,1
TCP,80,43937,1
TCP,80,12597,1
TCP,22666,80,3
TCP,60418,80,1
TCP,3673,80,1
TCP,55746,80,1
TCP,56822,80,1
TCP,80,41716,1
TCP,17354,80,1
TCP,80,62155,1
TCP,80,51929,1
TCP,55543,80,1
TCP,10971,80,1
TCP,51683,80,1
TCP,24731,80,1
TCP,51348,80,1
TCP,32733,80,1
TCP,60699,80,1
TCP,494,80,1
TCP,11175,80,1
TCP,55579,80,1
TCP,59051,80,1
TCP,16230,80,1
TCP,21986,80,1
TCP,81,19214,1
UDP,54921,57721,1
TCP,26450,80,1
TCP,80,25516,1
TCP,4360,80,1
TCP,19398,80,1
TCP,38569,80,2
TCP,21933,80,1
TCP,38052,80,2
TCP,39862,80,1
TCP,7502,80,1
UDP,4310,34035,1
TCP,45657,80,1
TCP,45255,80,1
TCP,80,36072,2
TCP,80,23028,1
TCP,51636,80,1
TCP,80,29638,1
TCP,27402,80,1
TCP,15963,80,1
TCP,5728,80,2
TCP,80,40689,1
TCP,16485,80,1
TCP,37718,80,2
TCP,33953,80,1
TCP,14158,80,2
TCP,29151,80,1
TCP,80,58580,1
TCP,44519,80,1
TCP,30470,80,1
TCP,14777,80,1
TCP,54904,80,2
TCP,11012,80,1
TCP,54585,80,1
TCP,80,18671,1
TCP,24404,80,1
TCP,49525,80,2
TCP,13350,80,1
TCP,80,37192,1
TCP,39057,80,1
TCP,80,11456,2
TCP,60168,80,1
TCP,54547,80,1
TCP,14264,80,1
TCP,5094,80,1
TCP,57915,80,3
TCP,61216,80,1
TCP,43038,80,1
TCP,35061,80,1
TCP,80,24480,1
TCP,53420,80,1
TCP,33790,80,1
TCP,14998,80,1
TCP,57426,80,1
TCP,80,61330,1
TCP,58007,80,2
TCP,52730,80,1
TCP,80,58084,1
TCP,80,41687,1
TCP,30867,80,1
TCP,56926,80,1
TCP,25516,80,1
TCP,23264,80,1
TCP,17860,80,1
TCP,37608,80,1
TCP,80,48620,1
TCP,21190,80,1
TCP,26576,443,1
TCP,63292,80,1
TCP,80,51970,1
TCP,7449,80,1
TCP,54603,80,2
TCP,24276,80,1
TCP,53212,80,1
TCP,10164,80,1
TCP,29881,80,1
TCP,14517,80,2
TCP,80,44723,1
TCP,80,64815,1
TCP,50016,80,1
TCP,10930,80,1
TCP,28741,80,1
TCP,63346,80,1
TCP,30632,80,1
TCP,80,8813,1
TCP,21001,80,1
